,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Deck
0,1,0,3,male,22.0,1,0,A/5 21171,7.25,,S,2.0
1,2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C,2.0
2,3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S,2.0
3,4,1,1,female,35.0,1,0,113803,53.1,C123,S,2.0
4,5,0,3,male,35.0,0,0,373450,8.05,,S,2.0
5,6,0,3,male,29.0,0,0,330877,8.4583,,Q,2.0
6,7,0,1,male,54.0,0,0,17463,51.8625,E46,S,4.0
7,8,0,3,male,2.0,3,1,349909,21.075,,S,2.0
8,9,1,3,female,27.0,0,2,347742,11.1333,,S,2.0
9,10,1,2,female,14.0,1,0,237736,30.0708,,C,2.0
10,11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S,6.0
11,12,1,1,female,58.0,0,0,113783,26.55,C103,S,2.0
12,13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S,2.0
13,14,0,3,male,39.0,1,5,347082,31.275,,S,2.0
14,15,0,3,female,14.0,0,0,350406,7.8542,,S,2.0
15,16,1,2,female,55.0,0,0,248706,16.0,,S,2.0
16,17,0,3,male,2.0,4,1,382652,29.125,,Q,2.0
17,18,1,2,male,29.0,0,0,244373,13.0,,S,2.0
18,19,0,3,female,31.0,1,0,345763,18.0,,S,2.0
19,20,1,3,female,29.0,0,0,2649,7.225,,C,2.0
20,21,0,2,male,35.0,0,0,239865,26.0,,S,2.0
21,22,1,2,male,34.0,0,0,248698,13.0,D56,S,3.0
22,23,1,3,female,15.0,0,0,330923,8.0292,,Q,2.0
23,24,1,1,male,28.0,0,0,113788,35.5,A6,S,0.0
24,25,0,3,female,8.0,3,1,349909,21.075,,S,2.0
25,26,1,3,female,38.0,1,5,347077,31.3875,,S,2.0
26,27,0,3,male,29.0,0,0,2631,7.225,,C,2.0
27,28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S,2.0
28,29,1,3,female,29.0,0,0,330959,7.8792,,Q,2.0
29,30,0,3,male,29.0,0,0,349216,7.8958,,S,2.0
30,31,0,1,male,40.0,0,0,PC 17601,27.7208,,C,2.0
31,32,1,1,female,29.0,1,0,PC 17569,146.5208,B78,C,1.0
32,33,1,3,female,29.0,0,0,335677,7.75,,Q,2.0
33,34,0,2,male,66.0,0,0,C.A. 24579,10.5,,S,2.0
34,35,0,1,male,28.0,1,0,PC 17604,82.1708,,C,2.0
35,36,0,1,male,42.0,1,0,113789,52.0,,S,2.0
36,37,1,3,male,29.0,0,0,2677,7.2292,,C,2.0
37,38,0,3,male,21.0,0,0,A./5. 2152,8.05,,S,2.0
38,39,0,3,female,18.0,2,0,345764,18.0,,S,2.0
39,40,1,3,female,14.0,1,0,2651,11.2417,,C,2.0
40,41,0,3,female,40.0,1,0,7546,9.475,,S,2.0
41,42,0,2,female,27.0,1,0,11668,21.0,,S,2.0
42,43,0,3,male,29.0,0,0,349253,7.8958,,C,2.0
43,44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,C,2.0
44,45,1,3,female,19.0,0,0,330958,7.8792,,Q,2.0
45,46,0,3,male,29.0,0,0,S.C./A.4. 23567,8.05,,S,2.0
46,47,0,3,male,29.0,1,0,370371,15.5,,Q,2.0
47,48,1,3,female,29.0,0,0,14311,7.75,,Q,2.0
48,49,0,3,male,29.0,2,0,2662,21.6792,,C,2.0
49,50,0,3,female,18.0,1,0,349237,17.8,,S,2.0
50,51,0,3,male,7.0,4,1,3101295,39.6875,,S,2.0
51,52,0,3,male,21.0,0,0,A/4. 39886,7.8,,S,2.0
52,53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,C,3.0
53,54,1,2,female,29.0,1,0,2926,26.0,,S,2.0
54,55,0,1,male,65.0,0,1,113509,61.9792,B30,C,1.0
55,56,1,1,male,29.0,0,0,19947,35.5,C52,S,2.0
56,57,1,2,female,21.0,0,0,C.A. 31026,10.5,,S,2.0
57,58,0,3,male,28.5,0,0,2697,7.2292,,C,2.0
58,59,1,2,female,5.0,1,2,C.A. 34651,27.75,,S,2.0
59,60,0,3,male,11.0,5,2,CA 2144,46.9,,S,2.0
60,61,0,3,male,22.0,0,0,2669,7.2292,,C,2.0
61,62,1,1,female,38.0,0,0,113572,80.0,B28,S,1.0
62,63,0,1,male,45.0,1,0,36973,83.475,C83,S,2.0
63,64,0,3,male,4.0,3,2,347088,27.9,,S,2.0
